"","length_own","length_matdis","length_bond","length_illchild","length_illparent","length_illspouse","resp_len","unaffordable","recStatePay","weight"
"322",0,0,0,0,0,0,0,NA,NA,57062.2497685568
"1327",0,0,0,0,0,0,0,NA,NA,153957.54592963
"1548",68,0,0,0,0,0,0,NA,0,12465.0620994158
"2355",0,0,0,0,0,0,0,NA,NA,168403.355780609
"83",5,0,0,0,0,0,0,NA,1,3866.5133793207
"2762",NA,NA,NA,NA,NA,0,0,NA,0,26536.3224920083
"2774",0,0,0,0,0,0,1,1,NA,17909.6857528785
"1810",0,0,0,0,0,0,1,1,NA,6763.09590914658
"1032",0,0,0,0,0,0,0,NA,NA,20879.3678197827
"744",55,0,0,0,0,0,1,NA,1,8308.33571834665
"52",68,0,0,0,0,0,0,NA,0,63235.0305495473
"2534",30,0,0,0,0,0,0,NA,0,6776.64836207017
"1219",20,0,0,0,0,0,0,NA,0,8308.33571834665
"980",NA,NA,NA,NA,NA,NA,1,NA,0,14008.8570782595
"2388",20,0,0,0,0,0,0,NA,0,15982.8878635735
"2609",10,0,0,0,0,0,0,NA,0,13818.5657626225
"549",0,0,0,0,0,0,0,NA,NA,96811.436324126
"319",0,0,0,0,0,0,1,1,NA,34503.4824502548
"1521",0,0,0,0,0,0,0,NA,NA,334493.393870968
"2326",0,0,0,0,0,0,0,NA,NA,14883.9487135194
"1010",261,0,0,0,0,0,0,NA,NA,9435.91421545373
"284",10,0,0,0,0,0,0,NA,0,27219.4276571921
"1438",0,0,0,0,0,0,0,NA,NA,12823.1985468192
"1886",0,0,0,0,0,0,0,NA,NA,11347.4621594706
"1386",0,0,0,0,0,0,0,NA,NA,62182.6578422904
"1834",0,0,0,0,0,0,0,NA,NA,25389.7628547218
"2796",0,0,0,0,0,0,0,NA,NA,39316.9534334254
"5",0,0,0,0,0,0,0,NA,NA,18822.2222668441
"1121",0,0,5,0,0,0,0,NA,0,38110.3665967588
"669",0,0,0,0,0,7,1,NA,0,32223.0324723161
"1948",0,0,0,0,0,0,0,NA,NA,334493.393870968
"2513",0,90,0,0,0,0,1,NA,0,9503.47106105691
"1410",0,0,0,5,0,0,0,NA,0,8624.37778345928
"30",0,0,0,0,0,0,0,NA,NA,64430.4619242653
"656",0,0,0,0,0,0,0,NA,NA,52932.3753134823
"2418",0,0,0,0,0,0,0,NA,NA,74834.6506389298
"865",0,0,0,0,0,0,1,1,NA,17375.8670344432
"849",30,0,0,0,0,0,1,NA,0,6194.10691295993
"1328",0,0,0,0,0,0,0,NA,NA,135097.769006218
"1785",NA,0,0,0,0,0,0,NA,0,25635.5238448616
"517",0,0,0,0,15,0,1,NA,0,13146.1921952985
"1714",0,0,0,0,0,0,0,0,NA,7594.2121080529
"2229",0,0,0,0,0,0,0,0,NA,17034.8681991068
"937",0,0,0,0,3,0,0,0,NA,3211.34231560171
"575",0,0,0,0,0,0,0,NA,NA,64908.3743872426
"1751",0,0,0,0,0,0,0,NA,NA,82938.6842248587
